name,sku,price,old_price,image_href,out_of_stock,date
Кавомашина CM 5310,29531020RU,40 690 грн.,,https://shop.miele.ua/upload/iblock/a95/a957031f7bb51f1ca800f22af7e6acbf.jpeg,В наявності,(26.01.2023)
Посудомийна машина G 5430 SC,21543016UA,39 290 грн.,,https://shop.miele.ua/upload/iblock/b3a/b3a96113e974c3971b5b9bb6fb122d38.jpeg,В наявності,(26.01.2023)
Пральна машина з сушкою WTD 160 WCS,11TD1601UA,77 790 грн.,,https://shop.miele.ua/upload/iblock/c52/c52ebc30cbd30f9f60e795ed7259adae.jpeg,В наявності,(26.01.2023)
Пральна машина з сушкою WTD 163 WCS,11TD1631UA,77 790 грн.,,https://shop.miele.ua/upload/iblock/cd2/cd21be3ffc4ed0e73abdcdd2c24b63d2.jpeg,В наявності,(26.01.2023)
Пральна машина із сушкою WTD 165 WPM,11TD1654UA,83 290 грн.,,https://shop.miele.ua/upload/iblock/133/133b7cebf0ced02a78f0b27c15fd2e12.jpeg,В наявності,(26.01.2023)
Пральна машина з сушкою WTR 870 WPM,11TR8704UA,129 290 грн.,,https://shop.miele.ua/upload/iblock/df0/df00d2a8ac5b1743483e518bd6133b8d.jpeg,Під замовлення,(28.04.2023)
Прасувальна система B 4312 Fashion Master,13431221RU,69 890 грн.,,https://shop.miele.ua/upload/iblock/192/1928a714c9a7fb96aedba03a8d612976.jpeg,Під замовлення,(31.03.2023)
Прасувальна система B 4847 Fashion Master,13484721RU,86 390 грн.,,https://shop.miele.ua/upload/iblock/6cd/6cd7a77e2266cc055ef8d70df4db29f0.jpeg,Під замовлення,(31.03.2023)
Прасувальний каток B 995 D,13099504RU,76 490 грн.,,https://shop.miele.ua/upload/iblock/454/454d1ecbca998d69699edb4704ca2f09.jpeg,Під замовлення,(20.03.2023)
Кавомашина CM 5510,29551004RU,45 790 грн.,,https://shop.miele.ua/upload/iblock/79b/79bd457fdf4592367ff5c4e758400d95.jpeg,В наявності,(28.06.2022)
Кавомашина CM 6160 діамантовий білий,29616001RU,55 690 грн.,,https://shop.miele.ua/upload/iblock/1ac/1acbb5aa30790c53b4342766fbc6cac9.jpeg,В наявності,(28.06.2022)
Кавомашина CM 6160 чорна,29616020RU,55 690 грн.,,https://shop.miele.ua/upload/iblock/380/3805ddcc09d7dacb32ff256289c43291.jpeg,В наявності,(26.01.2023)
